"user","tournament","category","attemptNumber","questions","responses","startTime","endTime","score","RQM_score","timeTaken","expectedTime","completed","_id","__v"
"65b1ebbc90ba2e3794e9696d","66f8fa2cffc6cec786b4fe8d","technology",1,"[""66ec601f919e918e2313cbce"",""66e86bb1dfb374a6242b3323"",""66e6469442367d604cbea20d"",""66e504a9c33fa6365fe9d6f2"",""66f83e132851dbbdb030b943""]","[{""questionId"":""66ec601f919e918e2313cbce"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f939a6f871b298d21b8a60""},{""questionId"":""66e86bb1dfb374a6242b3323"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66f939a6f871b298d21b8a61""},{""questionId"":""66e6469442367d604cbea20d"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f939a6f871b298d21b8a62""},{""questionId"":""66e504a9c33fa6365fe9d6f2"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66f939a6f871b298d21b8a63""},{""questionId"":""66f83e132851dbbdb030b943"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f939a6f871b298d21b8a64""}]","2024-09-29T11:27:08.459Z","2024-09-29T11:28:08.459Z",3,44,16,,true,"66f9398cf871b298d21b8a0e",1
"65b1ebbc90ba2e3794e9696d","66f8fa2cffc6cec786b4fe8d","technology",2,"[""66e504a8c33fa6365fe9d6ed"",""66f59ae7b3a0c78680eedaa8"",""66ef0361cfc89ddf851e3daa"",""66eb0e93919e918e23f2bcd1"",""66f05488838421de1844ebc2""]","[{""questionId"":""66e504a8c33fa6365fe9d6ed"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66f93a0a88b63d3e1a20542c""},{""questionId"":""66f59ae7b3a0c78680eedaa8"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f93a0a88b63d3e1a20542d""},{""questionId"":""66ef0361cfc89ddf851e3daa"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66f93a0a88b63d3e1a20542e""},{""questionId"":""66eb0e93919e918e23f2bcd1"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f93a0a88b63d3e1a20542f""},{""questionId"":""66f05488838421de1844ebc2"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66f93a0a88b63d3e1a205430""}]","2024-09-29T11:28:58.813Z","2024-09-29T11:29:58.813Z",3,50,10,,true,"66f939fa88b63d3e1a20540c",1
"65b1ebbc90ba2e3794e9696d","66f8fa2cffc6cec786b4fe8d","environment",1,"[""66e86c2adfb374a6242b3547"",""66e645e442367d604cbea0b7"",""66e9bdfda23685c3aafdf8c0"",""66edb2b136bae91581acf8ed"",""66ef0411cfc89ddf851e4156""]","[{""questionId"":""66e86c2adfb374a6242b3547"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa4007c6a9d8a456ddd016""},{""questionId"":""66e645e442367d604cbea0b7"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa4007c6a9d8a456ddd017""},{""questionId"":""66e9bdfda23685c3aafdf8c0"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa4007c6a9d8a456ddd018""},{""questionId"":""66edb2b136bae91581acf8ed"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa4007c6a9d8a456ddd019""},{""questionId"":""66ef0411cfc89ddf851e4156"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa4007c6a9d8a456ddd01a""}]","2024-09-30T06:06:48.142Z","2024-09-30T06:07:48.142Z",3,61,9,,true,"66fa3ff8c6a9d8a456ddcfd4",1
"65b1ebbc90ba2e3794e9696d","66f8fa2cffc6cec786b4fe8d","science",1,"[""66f054e0838421de1844ec93"",""66e767a01005a75faffaa4b2"",""66e6468542367d604cbea1f0"",""66f83e922851dbbdb030bc86"",""66f1a8267cafddc604cb58bb""]","[{""questionId"":""66f054e0838421de1844ec93"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa428d07491b67ef158a74""},{""questionId"":""66e767a01005a75faffaa4b2"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa428d07491b67ef158a75""},{""questionId"":""66e6468542367d604cbea1f0"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa428d07491b67ef158a76""},{""questionId"":""66f83e922851dbbdb030bc86"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa428d07491b67ef158a77""},{""questionId"":""66f1a8267cafddc604cb58bb"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa428d07491b67ef158a78""}]","2024-09-30T06:17:35.383Z","2024-09-30T06:18:35.383Z",1,7,9,,true,"66fa427f07491b67ef158a31",1
"65f6b9f0ba995a8fd4acee64","66f8fa2cffc6cec786b4fe8d","sports",1,"[""66e646cc42367d604cbea279"",""66edb21136bae91581acf824"",""66f59b14b3a0c78680eeebee"",""66f6ed43dba3c1f152132319"",""66ec604e919e918e2313cc05""]","[{""questionId"":""66e646cc42367d604cbea279"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa47d091785a47e7183863""},{""questionId"":""66edb21136bae91581acf824"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa47d091785a47e7183864""},{""questionId"":""66f59b14b3a0c78680eeebee"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa47d091785a47e7183865""},{""questionId"":""66f6ed43dba3c1f152132319"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa47d091785a47e7183866""},{""questionId"":""66ec604e919e918e2313cc05"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa47d091785a47e7183867""}]","2024-09-30T06:40:02.980Z","2024-09-30T06:41:02.980Z",3,49,8,,true,"66fa47c291785a47e7183855",1
"65f6b9f0ba995a8fd4acee64","66f8fa2cffc6cec786b4fe8d","entertainment",1,"[""66f05581838421de1844f4f6"",""66e798dc1005a75faf086d5f"",""66e798d31005a75faf086d40"",""66e6f794afcb8af73b97d952"",""66f59c8bb3a0c78680ef7f05""]","[{""questionId"":""66f05581838421de1844f4f6"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa486991785a47e718398d""},{""questionId"":""66e798dc1005a75faf086d5f"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa486991785a47e718398e""},{""questionId"":""66e798d31005a75faf086d40"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa486991785a47e718398f""},{""questionId"":""66e6f794afcb8af73b97d952"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa486991785a47e7183990""},{""questionId"":""66f59c8bb3a0c78680ef7f05"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa486991785a47e7183991""}]","2024-09-30T06:42:34.103Z","2024-09-30T06:43:34.103Z",3,68,10,,true,"66fa485a91785a47e7183973",1
"65f6b9f0ba995a8fd4acee64","66f8fa2cffc6cec786b4fe8d","current affairs",1,"[""66e6cd5cc881309af30aee69"",""66e01a7b3460429add50047e"",""66f6e400dba3c1f15210db48"",""66f6e45bdba3c1f15211004a"",""66f6e416dba3c1f15210e368""]","[{""questionId"":""66e6cd5cc881309af30aee69"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa496f91785a47e7183ab1""},{""questionId"":""66e01a7b3460429add50047e"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa496f91785a47e7183ab2""},{""questionId"":""66f6e400dba3c1f15210db48"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa496f91785a47e7183ab3""},{""questionId"":""66f6e45bdba3c1f15211004a"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa496f91785a47e7183ab4""},{""questionId"":""66f6e416dba3c1f15210e368"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa496f91785a47e7183ab5""}]","2024-09-30T06:46:57.457Z","2024-09-30T06:47:57.457Z",2,28,8,,true,"66fa496191785a47e7183aa3",1
"65f6b9f0ba995a8fd4acee64","66f8fa2cffc6cec786b4fe8d","current affairs",2,"[""66e025c7bb38bfae212bba77"",""66f6e45edba3c1f152110606"",""66e948c455207127abfb629c"",""66f6e46ddba3c1f1521106d5"",""66e6cd70c881309af30af039""]","[{""questionId"":""66e025c7bb38bfae212bba77"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa499b91785a47e7183b3c""},{""questionId"":""66f6e45edba3c1f152110606"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa499b91785a47e7183b3d""},{""questionId"":""66e948c455207127abfb629c"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa499b91785a47e7183b3e""},{""questionId"":""66f6e46ddba3c1f1521106d5"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa499b91785a47e7183b3f""},{""questionId"":""66e6cd70c881309af30af039"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa499b91785a47e7183b40""}]","2024-09-30T06:47:39.743Z","2024-09-30T06:48:39.743Z",2,33,10,,true,"66fa498b91785a47e7183b2d",1
"65b1ebbc90ba2e3794e9696d","66f8fa2cffc6cec786b4fe8d","science",2,"[""66f44a8e72aca61130d597a1"",""66ef03e6cfc89ddf851e3ffb"",""66e9bdc8a23685c3aafdf887"",""66e551c094707d17c02d1952"",""66e5048bc33fa6365fe9d6b4""]","[{""questionId"":""66f44a8e72aca61130d597a1"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa9381b910e81b0541b4c1""},{""questionId"":""66ef03e6cfc89ddf851e3ffb"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa9381b910e81b0541b4c2""},{""questionId"":""66e9bdc8a23685c3aafdf887"",""userAnswer"":""b"",""isCorrect"":true,""_id"":""66fa9381b910e81b0541b4c3""},{""questionId"":""66e551c094707d17c02d1952"",""userAnswer"":""c"",""isCorrect"":false,""_id"":""66fa9381b910e81b0541b4c4""},{""questionId"":""66e5048bc33fa6365fe9d6b4"",""userAnswer"":""b"",""isCorrect"":false,""_id"":""66fa9381b910e81b0541b4c5""}]","2024-09-30T12:02:53.723Z","2024-09-30T12:03:53.723Z",2,22,14,,true,"66fa936db910e81b0541b47f",1
"65b1ebbc90ba2e3794e9696d","66f9b8c878419cc348a13a8b","current affairs",1,"[""66ffe042eab0094221f75197"",""66ffdea1eab0094221f74c76"",""66ffe068eab0094221f75504"",""66ffe090eab0094221f7557e"",""66ffe067eab0094221f754eb""]","[{""questionId"":""66ffe042eab0094221f75197"",""userAnswer"":""66ffe042eab0094221f75198"",""isCorrect"":true,""_id"":""6700918e326cf40ee3648726""},{""questionId"":""66ffdea1eab0094221f74c76"",""userAnswer"":""66ffdea1eab0094221f74c78"",""isCorrect"":false,""_id"":""6700918e326cf40ee3648727""},{""questionId"":""66ffe068eab0094221f75504"",""userAnswer"":""66ffe068eab0094221f75505"",""isCorrect"":true,""_id"":""6700918e326cf40ee3648728""},{""questionId"":""66ffe090eab0094221f7557e"",""userAnswer"":""66ffe090eab0094221f7557f"",""isCorrect"":true,""_id"":""6700918e326cf40ee3648729""},{""questionId"":""66ffe067eab0094221f754eb"",""userAnswer"":""66ffe067eab0094221f754ec"",""isCorrect"":true,""_id"":""6700918e326cf40ee364872a""}]","2024-10-05T01:07:43.889Z","2024-10-05T01:08:43.889Z",4,34,38,,true,"6700915f326cf40ee36486e1",1
